intv	interview
pls	please
plz	please
msg	message
gud	good
thx	thanks
k	ok
u	you
ur	your
r	are
n	and
m	main
b	be
gn	good night
gm	good morning
tysm	thank you so much
thnx	thanks
ty	thank you
np	no problem
nvm	never mind
idk	i don't know
imo	in my opinion
imho	in my humble opinion
fyi	for your information
btw	by the way
asap	as soon as possible
brb	be right back
omg	oh my god
lol	laughing out loud
wtf	what the hell
tbh	to be honest
irl	in real life
dm	direct message
pm	private message
gr8	great
l8r	later
smh	shaking my head
wbu	what about you
hbu	how about you
hru	how are you
gtg	got to go
ttyl	talk to you later
tc	take care
xoxo	hugs and kisses
jk	just kidding
bc	because
cuz	because
rn	right now
tbf	to be fair
afaik	as far as i know
iirc	if i recall correctly
otw	on the way
eta	estimated time of arrival
gg	good game
wp	well played
gl	good luck
hf	have fun
aka	also known as
diy	do it yourself
info	information
prob	probably
def	definitely
fav	favourite
pic	picture
congrats	congratulations
b4	before
w8	wait
pov	point of view
ngl	not gonna lie
lfg	let's go
